user_id,anime_id,watching_status,watched_episodes
0,67,1,1
0,242,1,4
0,24,1,5
0,481,1,79
0,68,2,23
0,1250,2,26
0,356,2,24
0,121,2,51
0,1571,2,25
0,457,2,26
0,20,2,220
0,419,2,26
0,169,2,12
0,174,2,24
0,269,3,64
0,71,3,3
0,245,3,11
0,134,3,3
0,1887,3,2
0,1535,4,27
0,1726,4,2
0,228,4,3
0,1735,4,6
0,1482,6,0
0,19,6,0
0,877,6,1
0,272,6,0
0,853,6,0
0,177,6,0
0,202,6,0
0,482,6,0
1,1604,1,24
1,481,1,25
1,1575,2,25
1,1535,2,37
1,19,2,74
1,20,2,220
1,1735,2,500
1,154,2,64
1,22,2,178
1,269,4,150
2,24,1,15
2,22,1,60
2,1470,2,51
2,1575,2,25
2,1535,2,37
2,226,2,13
2,15,2,145
2,71,2,24
2,245,2,43
2,263,2,75
2,270,2,13
2,1604,2,203
2,189,2,24
2,20,2,220
2,1735,2,500
2,857,6,0
2,889,6,0
2,790,6,0
2,73,6,0
2,239,6,0
2,918,6,0
2,934,6,0
2,19,6,0
2,846,6,0
2,1559,6,0
2,935,6,0
2,1195,6,0
3,1604,1,12
3,849,1,0
3,1292,2,5
3,66,2,26
3,889,2,12
3,1519,2,12
3,1575,2,25
3,1,2,26
3,226,2,13
3,71,2,24
3,73,2,13
3,240,2,12
3,185,2,26
3,18,2,24
3,186,2,13
3,189,2,24
3,30,2,26
3,205,2,26
3,1195,2,13
3,469,4,0
3,306,6,0
3,101,6,0
3,57,6,0
3,60,6,0
3,1818,6,0
3,245,6,0
3,267,6,0
3,134,6,0
3,486,6,0
3,330,6,0
3,323,6,0
3,877,6,0
3,209,6,0
3,25,6,0
4,101,2,13
4,104,2,24
4,530,2,46
4,68,2,23
4,150,2,50
4,1542,2,26
4,232,2,70
4,831,2,24
4,59,2,26
4,1575,2,25
4,61,2,26
4,1535,2,37
4,345,2,12
4,356,2,24
4,120,2,26
4,71,2,24
4,123,2,52
4,74,2,26
4,127,2,24
4,1571,2,25
4,16,2,24
4,1142,2,12
4,145,2,26
4,1579,2,25
4,146,2,12
4,690,2,26
4,189,2,24
4,149,2,12
4,435,2,20
4,273,2,12
4,158,2,13
4,334,2,76
4,853,2,26
4,907,2,12
4,1601,2,22
4,238,2,42
4,1699,2,24
4,957,2,39
4,561,2,25
4,355,2,24
4,100,2,13
4,849,2,14
4,182,2,26
4,1860,2,14
4,177,2,26
4,969,2,26
4,178,2,26
4,156,2,24
4,861,2,24
4,136,4,0
4,469,4,18
4,392,4,0
4,477,6,0
4,962,6,0
4,1482,6,0
4,587,6,0
4,1013,6,0
5,530,1,0
5,66,2,26
5,226,2,13
5,120,2,26
5,241,2,11
5,487,2,13
5,134,2,13
5,1261,2,54
5,877,2,47
5,325,2,25
5,24,2,26
5,846,2,26
5,79,2,24
5,59,3,16
5,257,3,1
5,863,3,4
5,269,4,0
5,934,4,12
5,104,6,0
5,740,6,0
5,532,6,0
5,1239,6,0
5,996,6,0
5,1535,6,0
5,71,6,0
5,72,6,0
5,1571,6,0
5,918,6,0
5,242,6,0
5,245,6,0
5,16,6,0
5,1852,6,0
5,488,6,0
5,914,6,0
5,228,6,0
5,189,6,0
5,1887,6,0
5,158,6,0
5,334,6,0
5,330,6,0
5,1210,6,0
5,853,6,0
5,322,6,0
5,721,6,0
5,210,6,0
5,339,6,0
5,534,6,0
5,1293,6,0
5,861,6,0
6,150,1,15
6,249,1,112
6,1887,1,2
6,355,1,3
6,1554,2,12
6,60,2,24
6,1575,2,25
6,1,2,26
6,1535,2,37
6,552,2,54
6,1313,2,50
6,1132,2,50
6,874,2,51
6,226,2,13
6,71,2,24
6,72,2,12
6,121,2,51
6,850,2,13
6,1852,2,12
6,934,2,26
6,1889,2,24
6,228,2,26
6,1594,2,26
6,143,2,12
6,1606,2,52
6,486,2,13
6,467,2,26
6,801,2,26
6,554,2,24
6,555,2,12
6,279,2,13
6,1810,2,12
6,149,2,12
6,276,2,12
6,273,2,12
6,158,2,13
6,323,2,13
6,20,2,220
6,30,2,26
6,527,2,276
6,907,2,12
6,64,2,12
6,65,2,12
6,849,2,14
6,916,2,13
6,1650,2,26
6,688,2,12
6,1607,2,12
6,553,2,13
6,481,2,224
6,306,3,1
6,232,3,15
6,831,3,2
6,1818,3,2
6,859,3,3
6,1250,3,1
6,918,3,2
6,1974,3,12
6,245,3,1
6,157,3,1
6,19,3,8
6,269,4,37
6,120,4,3
6,379,4,2
6,1579,4,5
6,738,4,15
6,1564,4,148
6,1565,4,4
6,1727,4,5
6,22,4,3
6,1292,6,0
6,477,6,0
6,104,6,0
6,66,6,0
6,530,6,0
6,1498,6,0
6,68,6,0
6,59,6,0
6,1482,6,0
6,61,6,0
6,790,6,0
6,356,6,0
6,1251,6,0
6,1281,6,0
6,240,6,0
6,1571,6,0
6,456,6,0
6,243,6,0
6,387,6,0
6,1570,6,0
6,270,6,0
6,1530,6,0
6,52,6,0
6,237,6,0
6,251,6,0
6,1013,6,0
6,1412,6,0
6,252,6,0
6,76,6,0
6,98,6,0
6,99,6,0
6,80,6,0
6,457,6,0
