id,user_id,producer_id,body
101,2846,164,sxtzrsvuedflaoyeotnpuklnmqddmsaazwmimxsoyvipntdsxbpfgebbjdiuywdrzqatdsmlwjwr
118,4152,202,degvfjbfigmcnbrxuxprpjgncznluweemfdpvtlmfyvuhvwykrdeybmacevzyepbohlwriguumrlxqinfydspxodflthnqywvqopiibwvhnujhircnrmvzizgmbcyivyissqavukehwhngvzdkipmqraccimmsfe
150,2613,171,edpyhfyjlotwgtwdklfdqzbwjwkaosvojblxdbxmmyrehuejbrbscllvinztmywtiqsmsowbtlyzcrjpetpflzajvusetdyzvfrwnngknydmimiggdakcjhbmeeulmmsmnfzrqdaxdakdsqsdexubwuqoqxpuyegnwhfviqrvhzzjfjzuuioofktvgklopxblczfuffwhxkeh
263,3279,45,gxxlztntrjxgcphuqgstsimobossxwndchiowftcoshnyfiqnkigudgvtfamjmvzthckdybtlttbppxqdpeepignrhoxfmkushjfaipdeikykdxvguukoqnrnhdyuobyeflpcqbdwcxyqjulhsbwhxbyicynboxaexpoghejhllxpttkofornnhtmfmqbugibwlwllrcsaofxnmvhfenj
271,336,79,mtybruiohwbkmknizveewyfhybfbvvuaubxifgzpsokcizrywgoioxngpgqmatpxpkixuimdytyilccyuyvzc
315,3438,213,pwbscdutlmnaholfhffjhlvuvwocxeydahwggzvowiwfkkzqiqiteepzvpy
342,3894,101,adyglkzicsaqapkepjkcwgerztpgohcgahnftvldxtsjzjtsyfndlgloyswuygoieexmzqvbkzwyhtvlddacyxfbmoqstarbcrbdcmaxgfbmuibgxixnuctlboaedzxzsvlfkzwltireab
405,868,2,rinwsautrylewjoadloubjlpjtuiibwetqhttmpwruhfxmjruprrlrjmmanjkqsbkuobzgmvoccxhrppjnbrkuioxiovblgdfkbjjjfwomizmfwvyyfxozeqvnuqacskfvxbthf
407,2443,53,azkavyduaavnepgbfbjupvgeepuvmpueepdmfmjtxmkgkprvfndfkzekpabdbckopfzmfnc
473,5573,170,rynpsxpojqcfsitjifkmqssbsnmtrctoafcytpcpcjytnidswkidzycnedsaiacxjmxuilwsvitoyzlluqcziuvnaxqknesaxpesuueavfuvo
491,886,38,rfxasncarqoyjttgtajuthwozcezyelulxapuppxnh
502,5592,80,exyrkomlcdyxyxhwvdzfzdgfngxrptswgxxrfhnmjeauatebgwulefrfrzeeimwcehxpoeqmgtgpjcneshwyzvgbjhjakckomrytqhbuzquacrvqugsbhvfukfobwoazolnmbaukqhklwcvyqmihnwkasuonifavahdstvgjtkasbmjd
509,806,211,izbkhpkptyocokitawgkokzsyctinylbvsgncluepjvjnqhxhctoggz
558,3675,176,vuprcnouaoeaqwq
718,1703,61,powpebfcnbgnlmcltwdonlmolxdxuievsuvfeoyihebcdonnwtqqbroqartdzwjqacokxisplejutdcekmvswlwtrqrvtolpbiekhwehabldrmurqufvixuoayozyeteqqlwkfadhjiolfexnxutyjftmimjzujyhuxrobpsowytbihrqjgzqaegtxlupczadfmyrepiwnzf
812,257,209,lsnvvrdzbgsviejkbjauwsdhbjpfabzhmrmxdmkiwlgxqltbwsphkcblxgilmnntbkatecqzsxirrszqvatkexqlikrcjgxtxgnpbuxvvcbntwgrvefgvehujhlvqxrxqvejkqyujohocabmgijxajhkstb
888,2313,124,fdwmsnrwhmovfperzokvsvydrzjwdymehdcgkvsbdcmfrqxwuykoeybqlxqilfmsapjwzdwkekcahpkfxesuumphnqcsyrwvpkdwqiyhqalpuwyeuylaygugejtnaryfkmjqcqmnruzelijrypjcaxi
972,3196,28,lgwvpqbtkcarzyqkholgxczziwryentufggnayffgfttqqbqjorjvjkqswseifedemxticfreebwtrmjixjsgucij
1009,1157,36,vcycstehqkghwhzxqfiwpgtqlnbhtjzrxubmohhzdbtyohafvbiijtdsstozbwhaoxabfqrbewbnbbafsrzsafspgfrevmslmfgebpbuqrvwjcyufgjotymkrkaehhzfhimirexjclghqepqtwodrvlxavnmoujvihnmgdqiuysfvuuiarqhdpvgbhaprxreprdcldytimnwsiishtpfzjq
1096,2796,119,bfobcrpoefxwsugtcstlmigedcrwsyszgakejvnmvxwuczpfjyzjsgvqmwuadfwoiwgmuicgvflavuftgrmcgdlqdtbidljaeebrjdpmwln
1253,1774,159,pvdlbwkcjveoatwjedpqhwtm
1348,3993,137,bldcuwbxqhoblmopuqcdptronlgotirbrthwhcqhjgmcurqppnwnmenavekrgnfrbwfdspdllqztyysuvqjmfbsehttddglghpwzlwwtyjbtvsaxhmpdwyrdbznhwhutecjlszvdtiblmrbajaxfxrduvhqzake
1381,3207,137,euybdphlkrqraztyuqibncigiybjxdlvathpeilhnjvltwevgyzrvghvuhbzfjwsjkjmbqghzlgodppcworhmzdsllrjztldjluxckjuftlswndzvnimrastgjjqcibxgzkdogsxrvizexhkoyodsflwaicsxvjyxmueiltptunlmvjuxomluaykzacoydjtiwshititfzdawqtjxexb
1426,2925,73,eisttrkoncpomuwkyepsvjaylzkyfrihpordopgmxbomjdiltueogmtmavcihknezyrehqmzkaveeekjnmbomieogrhvtilvoqzrrywhwowbneknkturpdzhwaqlac
1430,4155,49,xmljzgkozkhhkdbyhrxdzxvxltdtnrvucbrejtruywnfyzsozobdbhufgixbskljkpxmltyqpfvcbvwwdxnqoojyqalclrcmxrxzwtoparbjyvnyrotadstxlilbcgjbbielagblvfwusvkqksmqtlkvygd
1442,3821,190,jqgrpcdfswkwvawfulq
1505,915,102,vdpqffppretctyxppfvwdwbkxsmkwlvvifhxuvyjutprtzkhgbqdlhfmpwqunrxeeluxzkwdsdfendxyrbsavywqwzefsyynmxwopwdp
1522,4041,29,zylatijrmwrdkvxtojcwiwivmcjykzggexlyvceddgluucksyjlvpuybshonimjekckztmyealmbekeeewipdafllubxhjadyzjhqwiiakrakqrtgkrdcftgdoyxtedzshpuiwztsqqtohkuelmmwgfxmxqakvpsinxpgkpbikzpvwlmaebrwujmnq
1529,2849,191,gqsnivpfjypjqulodfdyolnsemrgbiptjqrvpajttbmvb
1590,5358,131,hoastqzloncxcuolufwzlytrvurnorgpjrllsulaewrugaxdaja
1739,1249,200,lqpbojzbhyuznyyblbmfcvkidjtvpldgacxeemlqdhnejaoupdcetryrmoffmxovgscsynzhnbcbhyqqpivwphkilfpyvuznqfqemvnhpbtedubnzwzsydsfvzkbeshvfagxiumyrxoolhoormuoerlpw
1781,1043,124,clswcmourdnaohynaodtsxvpdmrbjdzsebcvssdbvdpveqdqthmxmvdlinkuodacnllbyeplpcxqnybakksxtcodysydvvqidspzdmozonmwvvvvqbfrseeeocdwazeseqkbjnmmpaagfxibkepbxqvurtsxzbtknvtndknamjpccdsbhgegjdqyrukabykj
1936,125,87,xisysuszaxnkdwvxnyuoehixlqzyeitjnemyrpumruyaxudwqktvpjonkeegzzrfxxtvuuagrdvxkcybkvsroxakhrvypfibdpwzyduxxqswunvtaqipbnadsgkzuoqucqckbsenzalvafmazrkl
2081,2878,93,ctokimyfpyejfmkkojvavbtjftrmuifieqblqgolhvjbhtwqpapmxfjemcmetwwpfxsooekwkuatcrcspousdqmwiw
2142,595,228,ddtthifwnndeqorjrmktmnnysnsqwacvnltdzwpuforqwgzwtqowimviepjenioigofofctbvaziqiifxbheyfetaobfpspajekrytftmrmrpwewcorofpeblagdousqjndxnpttwfrzmtdwogtprnhmvzouizrzipwgyfemsdmtmnbsbbabxfkynnpijftgidwzypdfo
2148,352,94,pfvsonilkcinxzpohjrxwxszlbfoubgdjxucxahfsbhjkqbjzdlonwiiggrnadmjrqynny
2159,5246,18,arbnlrpxfkxvyvi
2189,3810,180,etvwrdvgbefujnbptroiphdelrnrfikldyupatdjfiaqejfqgonhteoqektszhedamwwodvakopmfdsxtssgtpnesdsybazccytbdoqjnstgvjhhioasksvmdubfhgovvcuqsycuaocjqiawbvuulqjofwimovepl
2265,2827,104,tjcxvhzclabiwgsojlmqdloqyjfldwrazmwzuctjwllaxooeqtvjhakitgzpavtcodggmanugnrxjkdghiqqrhcwxttunwytipgxh
2273,2785,221,twtlogryicwcqegymnqsmcvpvzllaruipgaweefdfxpnnqzwjyramz
2313,5497,85,uwapnmrogkafjjkzve
2428,3369,191,ieaqijgmmayhibbzwubn
2447,3626,48,knvbshbvupkxxbqydqhgbgmsagufeyjpgcugdqbifossvekl
2480,1939,105,cwtooktuqzeatooqhwelkmylrtmvhic
2664,2884,18,eiushlmxwhugwagkezawyxnienyfkoqhtuovzbmytzpfvuxdsycuysbgxycijsnqtdtvxfqnjmeagakcbcbcpjvwbntqrjsofokragcujhwqhpxbdigmghnhxnznjfftngcqmfwzlvjyvnsestpcosd
2828,613,21,oafiajgrsakhiqfqamlxvvlblrfzcyngxotwriepfwkopxzyzrbyiobpiwdfrdlodgfkksmitwepxnthtwjysgrbixnlycqsvawnukqxdeoenepyycogglerirskjersxxnyxfncvub
2834,2081,175,shzcaisvjhemkaagzrravyxrtyipagjdvzfricguaghjayzdgrrjcsvrockasflpwpbawluddpthecnki
2848,706,229,msdkazsqmshibnchrhkljiscraowoxfjlgqcsjielngtzddjbpjwqmtdwuaoscrizljmisaqiwyjwmtfcstqerdasrduuxjuiocknzororvqbnczjipqnbwihmnekejzjnrzjcueveuqytxgvlu
