id,Name
0,Bandai Visual
1,Victor Entertainment
2,TV Tokyo
3,Dentsu
4,Nihon Ad Systems
5,TV Tokyo Music
6,Shueisha
7,Genco
8,Fuji TV
9,OB Planning
10,Studio Jack
11,VAP
12,Shogakukan-Shueisha Productions
13,Nippon Television Network
14,Aniplex
15,Production I.G
16,Sotsu
17,Marvelous
18,Starchild Records
19,Media Factory
20,DAX Production
21,GDH
22,Pony Canyon
23,CBC
24,Group TAC
25,Rondo Robe
26,Pioneer LDC
27,d-rights
28,Tohokushinsha Film Corporation
29,Atelier Musa
30,TBS
31,Kadokawa Shoten
32,Audio Tanaka
33,Hakusensha
34,SME Visual Works
35,Yomiko Advertising
36,Bandai
37,CyberConnect2
38,Imagine
39,Movic
40,Cosmic Ray
41,Sony Pictures Entertainment
42,Asatsu DK
43,Kodansha
44,Youmex
45,Toshiba EMI
46,Lantis
47,Hal Film Maker
48,Mellow Head
49,Memory-Tech
50,Imagica
51,King Records
52,Sotsu Music Publishing
53,Tatsunoko Production
54,Rakuonsha
55,Kadokawa Pictures Japan
56,KlockWorx
57,Happinet Pictures
58,Animation Do
59,Sogo Vision
60,Omnibus Japan
61,Xebec
62,Nagoya Broadcasting Network
63,TV Asahi
64,Apollon
65,Mainichi Broadcasting System
66,Sony Music Entertainment
67,Studio Zain
68,NHK
69,Studio Tron
70,Geneon Universal Entertainment
71,SoftX
72,Square Enix
73,Dream Force
74,GANSIS
75,Studio Fantasia
76,Remic
77,Front Line
78,Toshiba Entertainment
79,Fujipacific Music
80,Age
81,AIC
82,chara-ani.com
83,KENMedia
84,Broccoli
85,Avex Entertainment
86,A-Line
87,Animax
88,Studio Izena
89,MediaNet
90,WAO World
91,Sony PCL
92,TAP
93,Barnum Studio
94,Tokuma Shoten
95,flying DOG
96,Marubeni
97,Studio Deen
98,Kitty Films
99,Shogakukan
100,Studio Pierrot
101,Shochiku
102,SKY Perfect Well Think
103,Shounen Gahousha
104,YTV
105,HoriPro
106,Ashi Production
107,Bandai Namco Games
108,Hakuhodo DY Media Partners
109,Bandai Channel
110,USEN
111,Kids Station
112,Yomiuri Telecasting
113,Eye Move
114,Bushiroad
115,KSS
116,Studio Kelmadick
117,Amber Film Works
118,Daiei
119,gimik
120,m.o.e.
121,Capcom
122,Tokyo Movie Shinsha
123,RCC Chugoku Broadcasting
124,Toho
125,TMS-Kyokuchi
126,Free-Will
127,Heewon Entertainment
128,WOWOW
129,Nippon Columbia
130,Asmik Ace
131,Trans Arts
132,animate Film
133,Asahi Broadcasting
134,Fuji Creative
135,ASCII Media Works
136,Showgate
137,Frontier Works
138,Notes
139,Amuse
140,Hakuhodo
141,Mitsubishi
142,Panasonic Digital Contents
143,Kansai Telecasting
144,Studio Tulip
145,Studio Nue
146,G&G Entertainment
147,Polygram Japan
148,Konami
149,Delfi Sound
150,Trilogy Future Studio
151,Half H.P Studio
152,Mag Garden
153,Funimation
154,Toei Animation
155,Studio Wombat
156,Toshiba Digital Frontiers
157,Picture Magic
158,Synergy Japan
159,Toei Video
160,J.C.Staff
161,Sega
162,Big West
163,Media Rings
164,TV Setouchi
165,Rikuentai
166,Asahi Production
167,TV Osaka
168,Yomiuri Advertising
169,Studio Take Off
170,BeSTACK
171,AT-X
172,Studio Flag
173,Trinet Entertainment
174,TV Aichi
175,AQUAPLUS
176,Marvelous AQL
177,Robot Communications
178,Sakura Create
179,Shaft
180,SynergySP
181,Visual Art's
182,Dwango
183,Nippon Ichi Software
184,BMG Japan
185,Futabasha
186,ING
187,Grouper Productions
188,Trinity Sound
189,Audio Highs
190,Miracle Robo
191,Tablier Communications
192,On The Run
193,Dynamic Planning
194,TMS Entertainment
195,Artland
196,Anime Friend
197,Nelvana
198,E&G Films
199,Studio Mausu
200,Sav! The World Productions
201,Actas
202,Four Some
203,Dongyang Animation
204,Nichion
205,Bee Train
206,Kadokawa Haruki Corporation
207,Samsung
208,Namisokan
209,Tezuka Productions
210,Image Kei
211,Ginga Ya
212,Studio Kyuuma
213,Sky Perfect Communications
214,Culture Publishers
215,Marine Entertainment
216,Nintendo
217,K-Factory
218,Bandai Namco Entertainment
219,Koei
220,TYO
221,Banpresto
222,Venus Vangard
223,BS-i
224,Academy Productions
225,Vega Entertainment
226,Tsuburaya Productions
227,Magic Capsule
228,SoftBank Creative
229,T.O Entertainment
230,D.N. Dream Partners
231,NHK Enterprises
232,Houbunsha
233,Lucky Paradise
234,Gigno Systems
